collected_at,job_title,company_name,location,required_degree,required_years_experience,job_link
2025-11-28T01:48:01.141632+00:00,Front-End Software Engineer,Microsoft,"Herzliya, Tel Aviv District, Israel",Bachelor,2 years,https://il.linkedin.com/jobs/view/front-end-software-engineer-at-microsoft-4347601008
2025-11-28T01:48:01.141632+00:00,Data Scientist,Check Point Software,"Tel Aviv District, Israel",Master,3 years,https://il.linkedin.com/jobs/view/data-scientist-at-check-point-software-4347548476
2025-11-28T01:48:01.141632+00:00,Data Scientist,Vi,"Tel Aviv-Yafo, Tel Aviv District, Israel",Master,3 years,https://il.linkedin.com/jobs/view/data-scientist-at-vi-4323319777
2025-11-28T01:48:01.141632+00:00,Data Scientist (ML),UR Tech Jobs,"Kfar Saba, Center District, Israel",Not specified,1 years,https://il.linkedin.com/jobs/view/data-scientist-ml-at-ur-tech-jobs-4322899441
2025-11-28T01:48:01.141632+00:00,Senior Data Scientist,Honeycomb Insurance,"Tel Aviv-Yafo, Tel Aviv District, Israel",PhD,5 years,https://il.linkedin.com/jobs/view/senior-data-scientist-at-honeycomb-insurance-4324326349
2025-11-28T01:48:01.141632+00:00,Data Scientist / ML & AI Engineer,Appdome,"Tel Aviv-Yafo, Tel Aviv District, Israel",Bachelor,2 years,https://il.linkedin.com/jobs/view/data-scientist-ml-ai-engineer-at-appdome-4266313539
2025-11-28T01:48:01.141632+00:00,Data Scientist,Trigo,"Ramat Gan, Tel Aviv District, Israel",Bachelor,3 years,https://il.linkedin.com/jobs/view/data-scientist-at-trigo-4298386385
2025-11-28T01:48:01.141632+00:00,Junior Data Scientist,MarkeTeam.ai,"Tel Aviv-Yafo, Tel Aviv District, Israel",Master,Not specified,https://il.linkedin.com/jobs/view/junior-data-scientist-at-marketeam-ai-4341851265
2025-11-28T01:48:01.141632+00:00,Machine Learning Engineer,Bigabid,"Tel Aviv-Yafo, Tel Aviv District, Israel",Bachelor,2 years,https://il.linkedin.com/jobs/view/machine-learning-engineer-at-bigabid-4315014717
2025-11-28T01:48:01.141632+00:00,Data Scientist,CaliAlfa,"Herzliya, Tel Aviv District, Israel",Bachelor,4 years,https://il.linkedin.com/jobs/view/data-scientist-at-calialfa-4347599218
2025-11-28T01:48:01.141632+00:00,Machine Learning Engineer,UR Tech Jobs,"Kfar Saba, Center District, Israel",Not specified,1 years,https://il.linkedin.com/jobs/view/machine-learning-engineer-at-ur-tech-jobs-4322749814
2025-11-28T01:48:01.141632+00:00,AI/ML Engineer,Sunbit,"Tel Aviv-Yafo, Tel Aviv District, Israel",Bachelor,3 years,https://il.linkedin.com/jobs/view/ai-ml-engineer-at-sunbit-4331134817
2025-11-28T01:48:01.141632+00:00,Data Scientist,Similarweb,"Tel Aviv-Yafo, Tel Aviv District, Israel",Bachelor,3 years,https://il.linkedin.com/jobs/view/data-scientist-at-similarweb-4218607296
2025-11-28T01:48:01.141632+00:00,Data Scientist - Risk Automation,PayPal,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not specified,25 years,https://il.linkedin.com/jobs/view/data-scientist-risk-automation-at-paypal-4214781093
2025-11-28T01:48:01.141632+00:00,Machine Learning Engineer,Zefr,"Tel Aviv-Yafo, Tel Aviv District, Israel",Bachelor,Not specified,https://il.linkedin.com/jobs/view/machine-learning-engineer-at-zefr-4319577918
2025-11-28T01:48:01.141632+00:00,Machine Learning Engineer,Voyage81,"Tel Aviv District, Israel",Bachelor,3 years,https://il.linkedin.com/jobs/view/machine-learning-engineer-at-voyage81-4311242855
2025-11-28T01:48:01.141632+00:00,Applied Data Scientist,Ask-AI,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not specified,3 years,https://il.linkedin.com/jobs/view/applied-data-scientist-at-ask-ai-4275323442
2025-11-28T01:48:01.141632+00:00,Data Scientist – AI Team,Cycode,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not specified,3 years,https://il.linkedin.com/jobs/view/data-scientist-%E2%80%93-ai-team-at-cycode-4308006319
2025-11-28T01:48:01.141632+00:00,Data Scientist,Walmart Aspectiva,"Tel Aviv District, Israel",Master,6 years,https://il.linkedin.com/jobs/view/data-scientist-at-walmart-aspectiva-4335643897
2025-11-28T01:48:01.141632+00:00,Data Scientist,Ready Group,"Center District, Israel",Bachelor,3 years,https://il.linkedin.com/jobs/view/data-scientist-at-ready-group-4347575710
2025-11-28T01:48:01.141632+00:00,Data Science Researcher,MarkeTeam.ai,"Tel Aviv-Yafo, Tel Aviv District, Israel",Master,Not specified,https://il.linkedin.com/jobs/view/data-science-researcher-at-marketeam-ai-4341881227
2025-11-28T01:48:01.141632+00:00,Data Scientist,Cyera,"Tel Aviv-Yafo, Tel Aviv District, Israel",Bachelor,5 years,https://il.linkedin.com/jobs/view/data-scientist-at-cyera-4308450946
2025-11-28T01:48:01.141632+00:00,Python Developer,Commit,"Tel Aviv-Yafo, Tel Aviv District, Israel",Bachelor,2 years,https://il.linkedin.com/jobs/view/python-developer-at-commit-4335049421
2025-11-28T01:48:01.141632+00:00,Data Scientist,HCL AppScan,"Herzliya, Tel Aviv District, Israel",Bachelor,4 years,https://il.linkedin.com/jobs/view/data-scientist-at-hcl-appscan-4310816703
2025-11-28T01:48:01.141632+00:00,AI Scientist,GE HealthCare,"Haifa, Haifa District, Israel",Master,2 years,https://il.linkedin.com/jobs/view/ai-scientist-at-ge-healthcare-4338782519
2025-11-28T01:48:01.141632+00:00,Analytics Engineer,Navan,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not specified,3 years,https://il.linkedin.com/jobs/view/analytics-engineer-at-navan-4338699991
